rank,finalWorth,personName,age,industries,countryOfCitizenship,selfMade,gender,birthYear,gdp_country,life_expectancy_country,total_tax_rate_country,population_country,latitude_country,longitude_country
65,23100,Michael Hartono,83.0,Manufacturing,Indonesia,False,M,1939.0,"$1,119,190,780,753 ",71.5,30.1,270203917.0,-0.789275,113.921327
67,22900,James Ratcliffe,70.0,Manufacturing,United Kingdom,True,M,1953.0,"$2,827,113,184,696 ",81.3,30.6,66834405.0,55.378051,-3.435973
68,22600,Cyrus Poonawalla,81.0,Healthcare,India,False,M,1941.0,"$2,611,000,000,000 ",69.4,49.7,1366417754.0,20.593684,78.96288
69,22400,Masayoshi Son,65.0,Telecom,Japan,True,M,1957.0,"$5,081,769,542,380 ",84.2,46.7,126226568.0,36.204824,138.252924
70,22100,Vladimir Lisin,66.0,Metals & Mining,Russia,True,M,1956.0,"$1,699,876,578,871 ",72.7,46.2,144373535.0,61.52401,105.318756
71,22000,Emmanuel Besnier,52.0,Food & Beverage,France,False,M,1970.0,"$2,715,518,274,227 ",82.5,60.7,67059887.0,46.227638,2.213749
72,21600,Abigail Johnson,61.0,Finance & Investments,United States,False,F,1961.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
72,21600,Leonid Mikhelson & family,67.0,Energy,Russia,True,M,1955.0,"$1,699,876,578,871 ",72.7,46.2,144373535.0,61.52401,105.318756
74,21200,Lukas Walton,36.0,Fashion & Retail,United States,False,M,1986.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
74,21200,Wang Wei,52.0,Service,China,True,M,1970.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
76,21100,Jensen Huang,60.0,Technology,United States,True,M,1963.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
77,21000,Leonard Lauder,90.0,Fashion & Retail,United States,False,M,1933.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
77,21000,Takemitsu Takizaki,77.0,Manufacturing,Japan,True,M,1945.0,"$5,081,769,542,380 ",84.2,46.7,126226568.0,36.204824,138.252924
79,20900,Alexey Mordashov & family,57.0,Metals & Mining,Russia,True,M,1965.0,"$1,699,876,578,871 ",72.7,46.2,144373535.0,61.52401,105.318756
80,20500,Vagit Alekperov,72.0,Energy,Russia,True,M,1950.0,"$1,699,876,578,871 ",72.7,46.2,144373535.0,61.52401,105.318756
81,20200,"Thomas Frist, Jr. & family",84.0,Healthcare,United States,True,M,1938.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
82,19600,Andrew Forrest,61.0,Metals & Mining,Australia,True,M,1961.0,"$1,392,680,589,329 ",82.7,47.4,25766605.0,-25.274398,133.775136
83,19100,Ray Dalio,73.0,Finance & Investments,United States,True,M,1949.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
84,19000,Eric Li,59.0,Automotive,China,True,M,1963.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
84,19000,Wang Wenyin,55.0,Metals & Mining,China,True,M,1968.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
86,18900,Qin Yinglin,57.0,Food & Beverage,China,True,M,1965.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
88,18700,Wang Chuanfu,57.0,Automotive,China,True,M,1966.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
89,18500,Harold Hamm & family,77.0,Energy,United States,True,M,1945.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
89,18500,David Tepper,65.0,Finance & Investments,United States,True,M,1957.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
89,18500,Gennady Timchenko,70.0,Energy,Russia,True,M,1952.0,"$1,699,876,578,871 ",72.7,46.2,144373535.0,61.52401,105.318756
92,18000,Daniel Gilbert,61.0,Finance & Investments,United States,True,M,1962.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
93,17700,Lakshmi Mittal,72.0,Metals & Mining,India,False,M,1950.0,"$2,827,113,184,696 ",81.3,30.6,66834405.0,55.378051,-3.435973
94,17500,Steve Cohen,66.0,Finance & Investments,United States,True,M,1956.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
94,17500,Carl Icahn,87.0,Finance & Investments,United States,True,M,1936.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
94,17500,Savitri Jindal & family,73.0,Metals & Mining,India,False,F,1950.0,"$2,611,000,000,000 ",69.4,49.7,1366417754.0,20.593684,78.96288
97,17400,Donald Bren,90.0,Real Estate,United States,True,M,1932.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
97,17400,"John Menard, Jr.",83.0,Fashion & Retail,United States,True,M,1940.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
99,17100,Rupert Murdoch & family,92.0,Media & Entertainment,United States,False,M,1931.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
100,16700,Vicky Safra & family,70.0,Finance & Investments,Brazil,False,F,1953.0,"$703,082,435,360 ",83.6,28.8,8574832.0,46.818188,8.227512
101,16500,"Theo Albrecht, Jr. & family",72.0,Fashion & Retail,Germany,False,M,1951.0,"$3,845,630,030,824 ",80.9,48.8,83132799.0,51.165691,10.451526
101,16500,Renata Kellnerova & family,55.0,Finance & Investments,Czech Republic,False,F,1967.0,"$246,489,245,495 ",79.0,46.1,10669709.0,49.817492,15.472962
103,16300,Li Xiting,72.0,Healthcare,Singapore,True,M,1951.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
104,16200,Stefan Persson,75.0,Fashion & Retail,Sweden,False,M,1947.0,"$530,832,908,738 ",82.5,49.1,10285453.0,60.128161,18.643501
104,16200,Eric Schmidt,67.0,Technology,United States,True,M,1955.0,"$21,427,700,000,000 ",78.5,36.6,328239523.0,37.09024,-95.712891
106,16000,Michael Platt,55.0,Finance & Investments,United Kingdom,True,M,1968.0,"$703,082,435,360 ",83.6,28.8,8574832.0,46.818188,8.227512
107,15900,Pang Kang,67.0,Food & Beverage,China,True,M,1956.0,"$19,910,000,000,000 ",77.0,59.2,1397715000.0,35.86166,104.195397
108,15800,Karl Albrecht Jr. & family,65.0,Fashion & Retail,Germany,False,M,1958.0,"$3,845,630,030,824 ",80.9,48.8,83132799.0,51.165691,10.451526
